Username,Konten,Lokasi
VikohRofikoh,"Emil (Ridwan Kamil) berharap dengan adanya moda transportasi ini bisa membuat warga Bekasi beralih menggunakan transportasi massal. 
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Gubernur Ridwan Kamil mengatakan, program ini merupakan arahan dari Presiden Jokowi untuk mulai membangun MRT dari jalur barat Provinsi Banten hingga Cikarang.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Penandatanganan tersebut terkait rencana pembangunan Angkutan Umum Massal Perkotaan Koridor Barat-Timur (MRT East-West) di Gedung Sate, Kota Bandung, Jumat (17/2/2023).
#BersamaJuara 
Ridwan Kamil","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Gubernur Jawa Barat Ridwan Kamil dengan Penjabat Gubernur DKI Heru Budi Hartono dan Plt Wali Kota Bekasi Tri Adhianto Tjahyono.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Pemerintah Provinsi Jawa Barat (Pemprov Jabar), Pemprov DKI Jakarta, dan Pemkot Bekasi sepakat untuk berkolaborasi di dalam pembangunan Moda Raya Terpadu.
#BersamaJuara 
Ridwan Kamil","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Ridwan Kamil Sebut Warga Bekasi Bakal Punya MRT yang Bisa Angkut 250 Ribu Orang
#BersamaJuara https://t.co/J1OnLo7JTx","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"“Mau dilaporkan ada korupsi, silahkan, selama ada buktinya,” jelasnya.

“Jadi jangan membuat persepsi dengan kalimat sendiri tanpa bukti bahwa Al Jabbar terjadi hal hal negatif dari segi anggaran, sok mana buktinya,” tantang Ridwan Kamil.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Bahkan, kata RK (Ridwan Kamil), jika dirinya mau dilaporkan sekalipun tentang dugaan adanya praktik korupsi, kolusi dan nepotisme RK mengaku tidak keberatan, asalkan data, fakta dan buktinya jelas.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Terkait dengan apa yang disampaikan Beyond Anti Korupsi Ridwan Kamil mengatakan itu hak dari pribadi masing-masing menilainya seperti apa.

“Orang melihat Al Jabbar dengan perspektif yang masing-masing,” kata RK.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"“Gini, saya tidak pernah menyatakan teknis, masyarakat yang secara populer menyebut 1 Triliun, jadi saya sampaikan kalimat populernya soal anggaran berapa ya mungkin lebih dari itu 1 T,” ucap Ridwan Kamil.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
